codigoRPA,codigoSIA,nombre,nombrePantalla,codigoFamilia,familia,codigoMateria,materia,consejeria,consejeriaDIR3,estado,vigente,fechaAlta,fechaBaja
624,215636,Concesión de Certificado de Conformidad ATP,624 - Concesión de Certificado de Conformidad ATP,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
640,214122,Incentivos para el desarrollo energético sostenible de Andalucía (Orden 04/02/2009),640 - Incentivos para el desarrollo energético sostenible de Andalucía (Orden 04/02/2009),2,"Familia 2. Subvenciones, becas y premios",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,11/08/2009,23/02/2017
1807,204089,Registro de Certificados Energéticos Andaluces,1807 - Registro de Certificados Energéticos Andaluces,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,20/09/2011,
5259,215518,Actividades mineras: Autorización del plan de restauración o plan de abandono,5259 - Actividades mineras: Autorización del plan de restauración o plan de abandono,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
5260,215242,Actividades mineras: Proyectos de voladura en actividades mineras,5260 - Actividades mineras: Proyectos de voladura en actividades mineras,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,12/02/2013,
5264,215516,"Actividades mineras: Residuos mineros, aprobación de proyectos de depósitos y de abandono de depósitos","5264 - Actividades mineras: Residuos mineros, aprobación de proyectos de depósitos y de abandono de depósitos",1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
5265,204315,Actividades mineras: Establecimiento de Beneficio de los Recursos Mineros,5265 - Actividades mineras: Establecimiento de Beneficio de los Recursos Mineros,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,19/11/2012,
5266,215663,Actividades mineras: Grupos mineros y Concentración de trabajos.,5266 - Actividades mineras: Grupos mineros y Concentración de trabajos.,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,19/11/2012,
5267,215479,Actividades mineras: Demasías mineras,5267 - Actividades mineras: Demasías mineras,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
5268,204316,Actividades mineras: Cotos Mineros: Constitución,5268 - Actividades mineras: Cotos Mineros: Constitución,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
5489,215517,Autorización de centros formativos y evaluadores en materia de gases fluorados,5489 - Autorización de centros formativos y evaluadores en materia de gases fluorados,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
6129,204347,Actividades mineras: Planes de Labores,6129 - Actividades mineras: Planes de Labores,1,"Familia 1. Comunicaciones previas, autorizaciones, acreditaciones, e inscripciones registrales",8,Empresa y comercio,Consejería de Política Industrial y Energía,A01041433,A,True,18/02/2013,
6400,214132,Programa de Impulso a la Construcción Sostenible en Andalucía (Decreto-ley 1/2014-PICS),6400 - Programa de Impulso a la Construcción Sostenible en Andalucía (Decreto-ley 1/2014-PICS),2,"Familia 2. Subvenciones, becas y premios",25,Energía,Consejería de Política Industrial y Energía,A01041433,A,True,28/11/2016,23/02/2017
